,name,price_elasticity,price_mean,quantity_mean,intercept,slope,rsquared,p_value,ranking
0,32GB iPod touch (Gold) (6th Generation),8.029557963749387,209.56601465201464,6.375,-44.81343201890232,0.24425922353822957,0.5072577497946806,0.047462886035290495,38
1,Apple - Smart Cover for Apple iPad and iPadÃÂ® Air 2 - Charcoal Gray,-3.5127614599542962,41.23041053921569,7.875,35.53799649714007,-0.6709367220786908,0.6618938579283831,0.014018743041643725,28
2,Apple MD825AM/A Lightning to VGA Adapter for iPhones,-6.187923715328292,40.93472916666667,5.875,42.229051827553704,-0.8880980176890233,0.6557071805065917,0.014850674914359391,22
3,AudioQuest NightOwl Carbon Closed-Back Around-the-Ear Headphones,3.666549333333333,624.98,1.25,-3.3331866666666663,0.007333333333333332,0.5377777777777778,0.03843160493827163,34
4,Boytone - Portable Bluetooth Speaker - Blue,13.278728168383376,21.8025,1.75,-21.487774294670903,1.0658307210031377,0.6471115091804747,0.01606404060256453,42
5,Buffalo Technology - DriveStation Axis Velocity 3TB External USB 3.0/2.0 Hard Drive - Black,10.000575163398691,136.615,1.5,-13.500862745098036,0.10980392156862744,0.8166666666666667,0.002074738986063249,39
6,Definitive Technology - Wireless Audio Adapter - Black/Silver,-9.65470005534271,386.10541666666666,1.75,18.64572509684975,-0.043759357852874145,0.8095238095238095,0.0023342043039640305,15
7,"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""",-38.324321519912345,787.49,3.5,137.6351253196932,-0.17033248081841448,0.5627055169894032,0.03205534822479379,2
8,HP ENVY 34-b010 34-inch Curved All-in-One Computer (Intel Core i7-7700T,-18.063491680397178,1914.3858333333333,2.625,50.0416656610426,-0.024768604549523114,0.6394966522460199,0.017196567940542317,9
9,JBL Clip2 Portable Speaker,-6.379416888399953,54.22468524184149,21.75,160.50231732269896,-2.5588404377796787,0.7025347524741123,0.009350452477200807,21
10,"Kanto - sub6 6 80W Powered Subwoofer - Gloss Black""",-27.726103896103872,237.21222222222224,2.75,78.99678571428561,-0.3214285714285711,0.8668515950069348,0.000777739774627336,4
11,"Kanto - sub8 8 120W Powered Subwoofer - Gloss Black""",5.902994307400376,254.99,2.125,-10.418862903225794,0.04919354838709674,0.6031771762035987,0.023398617012713046,36
12,Lenovo - AC Adapter for Select Lenovo Yoga Laptops - Black,3.504640969517531,25.402499999999996,3.125,-7.8270030297422855,0.431138786723444,0.6394007430220563,0.017211185098542248,33
13,Logitech Keys-To-Go Ultra-Portable Bluetooth Keyboard for Android and Windows,-3.7793528977443516,57.427499999999995,4.625,22.104507152067622,-0.3043752061654717,0.5820287005613303,0.02767509330148328,27
14,MU8000-Series 65-Class HDR UHD Smart LED TV,-3.8551727676475904,2087.2310938009123,14.875,72.22069491875789,-0.02747453077384432,0.5210141056069438,0.043216383226328973,25
15,"Magellan Roadmate 5322-LM 5 Touchscreen Portable GPS Navigation System""",-1.8019738311158175,105.45875000000001,2.0,5.603947662231633,-0.03417400322146465,0.516881798724653,0.04446087515395301,30
16,Onkyo M-5010 2-Channel Amplifier (Black),23.46399999999999,245.115,1.5,-33.695999999999984,0.14358974358974355,0.8166666666666667,0.002074738986063249,43
17,Panasonic - Lumix G85 Mirrorless Camera with 12-60mm Lens - Black,-34.77852419190721,988.6301515151515,4.0,143.11409676762887,-0.1407139935540362,0.7711216616454059,0.004121073461441683,3
18,Pioneer 200W 4x6 Inch 3 Way 4 Ohms Coaxial Car Audio Speakers Pair | TS-A4676R,5.3421430956161124,46.71483333333333,2.125,-9.227054078184237,0.24300748323732088,0.8093827307995269,0.0023395418291071997,35
19,"Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""",-18.036431258008548,4217.1775,3.25,61.86840158852778,-0.013899913292368601,0.8022285815582932,0.0026213472158708798,10
20,Rugged Book Keyboard and Case for iPad Air 2,-8.43672483869669,137.9275,1.75,16.51426846771921,-0.10704368938550476,0.7737397113191378,0.00397644520344095,17
21,Russound - Acclaim 5 Series 100W 2-Way Indoor/Outdoor Speakers (Pair) - Black,-1.8893955178480668,154.28166666666667,1.375,3.9729188370410924,-0.016838804591436173,0.503387892533018,0.04871179475139673,29
22,"SAMSUNG 65 Class 4K (2160P) Ultra HD Smart QLED HDR TV QN65Q6FNAFXZA (2018 Model)""",-3.8463404000371235,1496.5514644607842,10.0,48.46340400037125,-0.02570135736309597,0.8697502200409228,0.000727155666903726,26
23,SRS-XB40 Bluetooth Speaker (Black),-7.315131631573671,231.28296130952378,4.375,36.3787008881348,-0.13837465893263345,0.5359445231072979,0.03893474248424635,18
24,SRS-ZR7 Wireless Speaker,-22.656263027968144,281.11673484848484,3.5,82.79692059788852,-0.2820782641795681,0.7002855846824213,0.009574923454662121,5
25,"Samsung - 40 Class - LED - MU7000 Series - 2160p - Smart - 4K UHD TV with HDR""",-6.722044753951548,771.6010416666667,2.25,17.37460069639099,-0.01960158149050924,0.7401615311100374,0.006118458002436509,19
26,SanDisk - Ultra 500GB Internal SATA Solid State Drive for Laptops,-6.683468402288709,182.7790625,3.0,23.050405206866127,-0.10969749451946187,0.5209448904604186,0.043237011852573205,20
27,SanDisk Extreme 500 480GB USB 3.0 Portable SSD (Solid State Drive) - SDSSDEXT-480G,6.8494532318666135,168.4419642857143,3.625,-21.204267965516465,0.1474054762470035,0.5089773888118859,0.04691568097135216,37
28,SanDisk Ultra II 1TB SATA III SSD - 2.5-Inch 7mm Height Solid State Drive - SDSSDHII-1T00-G25,12.293400582288134,284.5856547619048,3.125,-35.291876819650405,0.13499231664291528,0.5679514961424855,0.030819457121195225,41
29,Sandisk Extreme CompactFlash Memory Card - 64 GB (SDCFXS-064G-A46),-19.85256478156048,47.5092261904762,3.0,62.557694344681416,-1.2536027024708836,0.6747964261300408,0.012390921557697332,7
30,Sennheiser - RS 175 Over-the-Ear Wireless Headphone System - Black,-10.052035826112006,269.0856875,2.0,22.104071652224015,-0.0747125268497382,0.6237511145008305,0.019717699680900057,13
31,SiriusXM - Onyx Plus Satellite Radio Receiver with Home Kit - Black,2.8990364513364,74.44908333333333,4.0,-7.5961458053456035,0.15575941685441302,0.7695791554496118,0.004207967015970613,32
32,SiriusXM SXEZR1H1 XM Onyx EZR Satellite Radio with Free 3 Months Satellite and Streaming Service,-9.61918114139388,75.57858333333333,2.0,21.238362282787758,-0.25454780222511575,0.6818275005768227,0.011562645703905177,16
33,Sony MDR-1A Headphone - Black (International Version U.S. warranty may not apply),-18.97230381410059,291.8255476190476,3.625,72.39960132611463,-0.23567025535370123,0.508526017628913,0.04705885173886594,8
34,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),-3.9932541520375513,136.60607291666668,3.125,15.603919225117345,-0.09134966666328093,0.6240253119467714,0.019671661811970578,24
35,Vectros Bumper for 13 MacBook Pro Retina (Black),-4.014415135086945,57.378,2.75,13.789641621489098,-0.19240199417004947,0.5476988851914734,0.03579161847983574,23
36,WD - Blue 500GB Internal SATA Hard Drive,11.575161083525442,45.5396875,1.625,-17.18463676072884,0.4130383363023482,0.5395266754623257,0.037956117097204374,40
37,YU2 Powered Desktop Speakers (Matte Black),-21.74889999999993,197.71727272727273,4.0,90.99559999999971,-0.4399999999999986,0.8,0.002713682035093797,6
38,YU2 Powered Desktop Speakers (Matte Gray),-12.211494949494897,194.99,4.125,54.49741666666641,-0.2583333333333322,0.7870597870597871,0.003294484080442684,12
39,Yamaha - 30W Desktop Audio System - Black,-45.2349019279622,346.3571153846154,3.625,167.601519488863,-0.47343193543685036,0.5183846922607009,0.04400521196936794,1
40,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),-9.665690394329133,41.655,1.5,15.998535591493702,-0.34806231164310886,0.7420688484231079,0.005979249023030059,14
41,instax mini Rainbow Instant Film (10 Exposures),1.6831946065193744,18.893046875000003,6.375,-4.35536561656101,0.5679531569235579,0.6171689763030553,0.0208462357278712,31
42,sub6 100W 6 Active Subwoofer (Matte Gray),-12.299149618372216,233.46222222222224,3.25,43.2222362597097,-0.1712150080609698,0.5993448771929326,0.02413530335838791,11
